id,question,answer,_prefix,_skip_guess
LD107,"Two electric charges q1 = -6 × 10^-8 C and q2 = +5 × 10^-8 C are placed at two points A and B, 8 cm apart, in air. A charge q3 = +2 × 10^-8 C is placed at point C, knowing that the distance from C to A is 10 cm and from C to B is 8 cm. Calculate the net electric force acting on q3.",1.116*10^-3,LD,False
LD108,"Two electric charges, q1 = +3 × 10^-7 C and q2 = +4 × 10^-7 C, are placed at points A and B, respectively, 10 cm apart in air. A charge q3 = -8 × 10^-7 C is placed at point C, with distances CA = 7 cm and CB = 6 cm. Calculate the net electric force acting on q3.",0.842,LD,False
LD109,"Two charges q1 = -2 × 10^-8 C and q2 = -5 × 10^-8 C are placed at points A and B, 12 cm apart in the air. A third charge q3 = -5 × 10^-8 C is placed at point C, given that the distance from C to A is 5 cm and the distance from C to B is 9 cm. Calculate the net electric force acting on q3.",3.5*10^-3,LD,False
LD110,"Two charges q1 = +7 × 10^-8 C and q2 = -6 × 10^-8 C are placed at points A and B, 10 cm apart in air. A third charge q3 = +8 × 10^-8 C is placed at point C, such that the distance from C to A is 7 cm and the distance from C to B is 5 cm. Calculate the net electrostatic force acting on q3.",0.023,LD,False
LD111,"Two electric charges, q1 = -1 × 10⁻⁸ C and q2 = -6 × 10⁻⁸ C, are placed at points A and B, 14 cm apart in air. A third electric charge, q3 = -7 × 10⁻⁸ C, is placed at point C, such that the distance from C to A is 6 cm and the distance from C to B is 8 cm. Calculate the net electric force acting on q3.",4.16*10^-3,LD,False
LD112,"Two electric charges, q1 = +5 × 10^-8 C and q2 = +2 × 10^-8 C, are placed at two points A and B, separated by 12 cm in the air. A third charge, q3 = -2 × 10^-8 C, is placed at point C, with the distance from C to A being 8 cm and the distance from C to B being 6 cm. Calculate the net electric force acting on q3.",1.3*10^-3,LD,False
LD113,"Two charges, q1 = -8 × 10^-8 C and q2 = +4 × 10^-8 C, are placed at points A and B, 9 cm apart, in air. A third charge, q3 = -2 × 10^-8 C, is placed at point C, such that the distance from C to A is 10 cm and the distance from C to B is 6 cm. Calculate the net electric force acting on q3.",1.85*10^-3,LD,False
LD114,"Two electric charges, q1 = +6 × 10^-8 C and q2 = +4 × 10^-8 C, are placed at points A and B respectively, separated by 14 cm in the air. A third electric charge, q3 = -6 × 10^-8 C, is placed at point C, such that the distance from C to A is 6 cm and the distance from C to B is 8 cm. Calculate the net electric force acting on q3.",5.625*10^-3,LD,False
LD115,"Two point charges q1 = +5 × 10^-8 C and q2 = +6 × 10^-8 C are placed at points A and B, respectively, 15 cm apart in air. A third charge q3 = -7 × 10^-8 C is placed at point C, such that the distance from C to A is 3 cm and the distance from C to B is 17 cm. Calculate the net electric force acting on q3.",0.036,LD,False
LD116,"Two electric charges q1 = -4 × 10^-8 C and q2 = -8 × 10^-8 C are placed at two points A and B, 16 cm apart, in the air. A charge q3 = +2 × 10^-8 C is placed at point C, given that the distance from C to A is 6 cm and from C to B is 10 cm. Calculate the net electric force acting on q3.",0.56*10^-3,LD,False
LD117,"Two electric charges, q1 = -3 × 10^-8 C and q2 = -6 × 10^-8 C, are placed at points A and B, separated by 17 cm in the air. A third charge, q3 = +3 × 10^-8 C, is placed at point C. Given that the distance from C to A is 8 cm and the distance from C to B is 9 cm. Calculate the net electric force acting on q3.",0.734*10^-3,LD,False
LD118,"Two point charges, q1 = -8 × 10^-8 C and q2 = -2 × 10^-8 C, are placed at points A and B, 14 cm apart, in the air. A third charge, q3 = -7 × 10^-8 C, is placed at point C, such that the distance from C to A is 10 cm and the distance from C to B is 7 cm. Calculate the net electric force acting on q3.",4.83*10^-3,LD,False
LD119,"Two point charges, q1 = +7 × 10^-8 C and q2 = -3 × 10^-8 C, are placed at points A and B, separated by 3 cm in the air. A third charge, q3 = +2 × 10^-8 C, is placed at point C, such that the distance from C to A is 3 cm and the distance from C to B is 4 cm. Calculate the net electric force acting on q3.",12*10^-3,LD,False
LD120,"Two electric charges q1 = +6 × 10^-8 C and q2 = +1 × 10^-8 C are placed at two points A and B, separated by 15 cm in air. A third charge q3 = -1 × 10^-8 C is placed at point C, with the distance from C to A being 14 cm and to B being 6 cm. Calculate the net electric force acting on q3.",0.379*10^-3,LD,False
LD121,"Two electric forces have magnitudes of 7 N and 5 N, acting at an angle of 90° to each other. Calculate the resultant force of these two electric forces.",8.6023,LD,False
LD122,"Three identical charges, q = -4 × 10^-6 C, are placed at the three vertices of an isosceles right triangle with legs of length a = 12 cm. Calculate the net force acting on the charge located at the right angle vertex.",14.140,LD,False
LD123,"Two charges, q1 = +2 × 10^-6 C and q2 = +2 × 10^-6 C, are placed at points A and B, separated by 6 cm. A test charge q = 10^-6 C is placed at point M, which lies on the perpendicular bisector of AB, at a distance of 3 cm from AB (i.e., from the midpoint of AB). Calculate the magnitude of the net electric force exerted by q1 and q2 on q.",14.140,LD,False
LD124,"Two point charges, q1 = +4 × 10^-8 C and q2 = -4 × 10^-8 C, are placed at points A and B, 10 cm apart. A test charge q = 10^-8 C is placed at point M, which is on the perpendicular bisector of the line segment AB, at a distance of 3 cm from AB. Calculate the magnitude of the net electric force exerted by q1 and q2 on q.",1.82*10^-3,LD,False
LD125,"Two electric forces have magnitudes of 8 N and 7 N, and are inclined at an angle of 120° to each other. Calculate the resultant force of these two electric forces.",7.5498,LD,False
LD126,"Two electric forces have magnitudes of 3 N and 8 N, acting at a 90° angle to each other. Calculate their resultant force.",8.544,LD,False
LD127,Three electric charges q1 = q2 = q3 = +8 × 10^-6 C are placed at the three vertices of an equilateral triangle with side length 15 cm in the air. Calculate the net electric force acting on q3.,44.34,LD,False
LD128,"Two charges, q1 = +2 × 10^-8 C and q2 = -2 × 10^-8 C, are placed at two points A and B, separated by 10 cm. A third charge, q3 = -2 × 10^-8 C, is placed at the midpoint of AB. Calculate the electric force acting on q3.",2.88*10^-3,LD,False
LD129,"Three identical charges, q = -4 × 10^-8 C, are placed at the three vertices of an isosceles right triangle with legs of length a = 10 cm. Calculate the net force acting on the charge located at the right-angle vertex.",2.04*10^-3,LD,False
LD130,Three electric charges q1 = q2 = q3 = +5 × 10^-6 C are placed at the three vertices of an equilateral triangle with a side length of 15 cm in the air. Calculate the net electric force acting on q3.,17.320,LD,False
LD131,"Two electric forces have magnitudes of 5 N and 10 N, acting at an angle of 120° to each other. Calculate the resultant force of these two electric forces.",8.6603,LD,False
LD132,"Two electric forces, with magnitudes of 7 N and 6 N, act at an angle of 60° to each other. Calculate their resultant force.",11.2694,LD,False
LD133,"Three identical charges, q = +7 × 10^-7 C, are placed at the three vertices of an isosceles right triangle with legs of length a = 12 cm. Calculate the net force acting on the charge at the right-angle vertex.",0.434,LD,False
LD134,Three identical charges q = +2 × 10^-7 C are placed at the 3 vertices of an isosceles right triangle with legs of length a = 12 cm. Calculate the net force acting on the charge at the right-angle vertex.,0.035,LD,False
LD135,"Two electric forces, each with a magnitude of 5 N, act at an angle of 60° to each other. Calculate their resultant force.",8.66,LD,False
LD136,"Three identical charges, q = +9 × 10^-7 C, are placed at the three vertices of an isosceles right triangle with side length a = 12 cm. Calculate the net force acting on the charge located at the right angle vertex.",0.716,LD,False
LD137,"Two charges, q1 = -2 × 10^-8 C and q2 = -2 × 10^-8 C, are placed at points A and B, which are 6 cm apart. A test charge q = 10^-6 C is placed at point M, which is located on the perpendicular bisector of AB, 4 cm away from the line segment AB.",0.115,LD,False
LD138,"Two point charges q1 = +3 × 10^-6 C and q2 = -3 × 10^-6 C are placed at two points A and B, separated by 10 cm. A charge q3 = -3 × 10^-6 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",64.8,LD,False
LD139,"Three identical charges, q = -7 × 10^-6 C, are placed at the three vertices of an isosceles right-angled triangle with equal sides of length a = 12 cm. Calculate the net force acting on the charge located at the right-angle vertex.",43.31,LD,False
LD140,"Three electric charges, q1 = q2 = q3 = -5 × 10^-7 C, are placed at the three vertices of an equilateral triangle with side length 15 cm in the air. Calculate the net electric force acting on q3.",0.173,LD,False
LD141,"Two electric forces have magnitudes of 3 N and 9 N, and they are perpendicular to each other. Calculate their resultant force.",9.4868,LD,False
LD142,"Two electric charges, q1 = +5 × 10^-7 C and q2 = +5 × 10^-7 C and a charge q = 10^-6 C, are placed at two points A and B, 6 cm apart. A test charge q is placed at point M, which lies on the perpendicular bisector of the line segment AB and is 5 cm away from AB. Calculate the magnitude of the net electric force exerted by q1 and q2 on the test charge q.",2.270,LD,False
LD143,Two electric forces have magnitudes of 7 N and 8 N and act at an angle of 120° to each other. Calculate the resultant force of these two electric forces.,7.5498,LD,False
LD144,"Two charges, q1 = +9 × 10^-8 C and q2 = -9 × 10^-8 C, are placed at points A and B, separated by 6 cm. A third charge, q3 = -9 × 10^-8 C, is placed at the midpoint of AB. Calculate the net electric force acting on q3.",0.162,LD,False
LD145,"Two electric charges q1 = +5 × 10^-8 C and q2 = -5 × 10^-8 C are placed at two points A and B, separated by 8 cm. A charge q3 = -5 × 10^-8 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",2.81*10^-2,LD,False
LD146,"Three electric charges, q1 = q2 = q3 = +5 × 10^-6 C, are placed at the three vertices of an equilateral triangle of side length 10 cm in the air. Calculate the resultant electric force acting on q3.",3.89*10^-3,LD,False
LD147,"Three identical charges, q = +1 × 10^-8 C, are placed at the three vertices of an isosceles right triangle with legs of length a = 10 cm. Calculate the net force acting on the charge located at the right angle vertex.",1.27*10^-4,LD,False
LD148,"Two electric forces have magnitudes of 7 N and 5 N, and act at an angle of 60° to each other. Calculate the resultant force of these two electric forces.",10.44,LD,False
LD149,Three identical charges q = +1 × 10^-8 C are placed at the three vertices of an isosceles right triangle with leg length a = 10 cm. Calculate the net force acting on the charge at the right-angle vertex.,1.27*10^-4,LD,False
LD150,"Two electric charges q1 = -4 × 10^-6 C and q2 = -4 × 10^-6 C are placed at points A and B, 6 cm apart. A test charge q = 2 × 10^-6 C is placed at point M, which lies on the perpendicular bisector of AB, 5 cm from the line AB. Calculate the magnitude of the resultant electric force exerted by q1 and q2 on q.",36.32,LD,False
LD151,"Three identical charges, q = -2 × 10^-8 C, are placed at the three vertices of an isosceles right triangle with legs of length a = 10 cm. Calculate the net force acting on the charge at the right-angle vertex.",5.09*10^-4,LD,False
LD152,"Two electric charges q1 = -5 × 10^-7 C and q2 = -5 × 10^-7 C are placed at two points A and B, 10 cm apart. A test charge q = -3 × 10^-6 C is placed at point M, which lies on the perpendicular bisector of AB and is 5 cm away from the line segment AB. Calculate the magnitude of the net electric force exerted by q1 and q2 on q.",3.82,LD,False
LD153,Two electric forces with magnitudes 3 N and 9 N act at an angle of 120° to each other. Calculate their resultant force.,7.9373,LD,False
LD154,"Two charges q1 = +7 × 10^-8 C and q2 = -7 × 10^-8 C are placed at two points A and B, 6 cm apart. A charge q3 = -7 × 10^-8 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",0.098,LD,False
LD155,"Two electric charges q1 = +3 × 10^-7 C and q2 = -3 × 10^-7 C are placed at two points A and B, separated by 10 cm. A charge q3 = -3 × 10^-7 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",0.648,LD,False
LD156,"Two electric forces have magnitudes of 8 N and 10 N, and are perpendicular to each other. Calculate the resultant force of these two electric forces.",12.8062,LD,False
LD157,"Three electric charges, q1 = q2 = q3 = -9 × 10^-8 C, are placed at the three vertices of an equilateral triangle with a side length of 10 cm in air. Calculate the net electric force exerted on q3.",12.6*10^-3,LD,False
LD158,"Three electric charges, q1 = q2 = q3 = +4 × 10^-6 C, are placed at the three vertices of an equilateral triangle with side length 10 cm in the air. Calculate the resultant electric force acting on q3.",24.94,LD,False
LD159,"Three charges, q1 = q2 = q3 = +3 × 10^-7 C, are placed at the three vertices of an equilateral triangle with a side length of 15 cm in the air. Calculate the net electric force acting on q3.",62.35*10^-3,LD,False
LD160,"Two electric forces have magnitudes of 4 N and 9 N, acting at an angle of 120° to each other. Calculate the resultant force of these two electric forces.",7.8102,LD,False
LD161,"Two electric forces have magnitudes of 2 N and 12 N, and they act at an angle of 120° to each other. Calculate the resultant force of these two electric forces.",11.1355,LD,False
LD162,"Two electric forces, each with a magnitude of 5 N, act at an angle of 135° to each other. Calculate the resultant force of these two electric forces.",3.8268,LD,False
LD163,"Two electric forces have magnitudes of 12 N and 4 N, acting at an angle of 30° to each other. Calculate the resultant force of these two electric forces.",15.593,LD,False
LD164,"Two electric forces have magnitudes of 7 N and 9 N, and they are perpendicular to each other. Calculate the resultant force of these two electric forces.",11.4018,LD,False
LD165,"Two electric forces have magnitudes of 11 N and 5 N, and act at an angle of 135° to each other. Calculate the resultant force of these two electric forces.",8.2594,LD,False
LD166,"Two electric forces have magnitudes of 9 N and 12 N, and act at an angle of 135° to each other. Calculate the resultant force of these two electric forces.",8.5009,LD,False
LD167,Two electric forces have magnitudes of 5 N and 10 N and act at an angle of 60° to each other. Calculate the resultant force of these two electric forces.,13.229,LD,False
LD168,"Two electric forces have magnitudes of 7 N and 11 N, and act at an angle of 135° to each other. Calculate the resultant force of these two electric forces.",7.817,LD,False
LD169,Two electric forces with magnitudes of 10 N and 9 N act at an angle of 30° to each other. Calculate the resultant force of these two electric forces.,18.354,LD,False
LD170,Two electric forces with magnitudes of 10 N and 7 N act at an angle of 120° to each other. Calculate their resultant force.,8.8882,LD,False
LD171,"Two electric forces have magnitudes of 8 N and 10 N, acting at an angle of 60° to each other. Calculate the resultant force of these two electric forces.",15.620,LD,False
LD172,"Two electric forces have magnitudes of 3 N and 5 N, and act at an angle of 120° to each other. Calculate the resultant force of these two electric forces.",4.3589,LD,False
LD173,Two electric forces with magnitudes of 6 N and 5 N are acting at an angle of 30° to each other. Calculate their resultant force.,10.6283,LD,False
LD174,"Two electric forces have magnitudes of 8 N and 4 N, acting at an angle of 120° to each other. Calculate the resultant force of these two electric forces.",6.9282,LD,False
LD175,"Two electric forces have magnitudes of 8 N and 5 N, and act at an angle of 120° to each other. Calculate the resultant force of these two electric forces.",7,LD,False
LD176,Two electric forces have magnitudes of 2 N and 8 N. They act at an angle of 30° to each other. Calculate the resultant force of these two electric forces.,9.7833,LD,False
LD177,"Two electric forces have magnitudes of 7 N and 12 N, and they act at a 90° angle to each other. Calculate their resultant force.",13.892,LD,False
LD178,"Two electric forces have magnitudes of 8 N and 3 N, and they act at a 90° angle to each other. Calculate the resultant force of these two electric forces.",8.544,LD,False
LD179,"Two electric forces have magnitudes of 7 N and 2 N, acting at a 90° angle to each other. Calculate the resultant force of these two electric forces.",7.2801,LD,False
LD180,"Two electric forces have magnitudes of 5 N and 7 N, and they act at an angle of 90° to each other. Calculate their resultant force.",8.6023,LD,False
LD181,"Two electric forces, with magnitudes 3 N and 11 N, act at an angle of 60° to each other. Calculate their resultant force.",12.7671,LD,False
LD182,"Two electric forces have magnitudes of 6 N and 5 N, and they act at a 90° angle to each other. Calculate the resultant force of these two electric forces.",7.8102,LD,False
LD183,Two electric forces with magnitudes of 6 N and 5 N act at an angle of 120° to each other. Calculate their resultant force.,5.5678,LD,False
LD184,"Two electric forces have magnitudes of 3 N and 8 N, and act at an angle of 30° to each other. Calculate the resultant force of these two forces.",10.7037,LD,False
LD185,"Two electric forces have magnitudes of 11 N and 9 N, and they act at an angle of 135° to each other. Calculate the resultant force of these two electric forces.",7.8736,LD,False
LD186,"Two electric forces have magnitudes of 11 N and 7 N, and are acting at an angle of 60° to each other. Calculate the resultant force of these two electric forces.",15.716,LD,False
LD187,"Two electric forces have magnitudes of 5 N and 4 N, and they act at an angle of 30° to each other. Calculate the resultant force of these two forces.",8.6972,LD,False
LD188,"Two electric forces have magnitudes of 6 N and 9 N, acting at an angle of 45° to each other. Calculate the resultant force of these two electric forces.",13.906,LD,False
LD189,"Two electric forces have magnitudes of 11 N and 4 N, and act at an angle of 30° to each other. Calculate their resultant force.",14.602,LD,False
LD190,"Two electric forces have magnitudes of 5 N and 9 N, and they act at an angle of 135° to each other. Calculate the resultant force of these two electric forces.",6.5085,LD,False
LD191,"Two electric forces have magnitudes of 11 N and 5 N, and act at an angle of 30° to each other. Calculate the resultant force of these two electric forces.",15.533,LD,False
LD192,Two electric forces with magnitudes of 11 N and 5 N are acting at an angle of 135° to each other. Calculate the resultant force of these two electric forces.,8.2594,LD,False
LD193,"Two electric forces, each with a magnitude of 8 N, act at an angle of 120° to each other. Calculate the resultant force of these two electric forces.",8.0,LD,False
LD194,"Two electric forces have magnitudes of 5 N and 11 N, and act at an angle of 135° to each other. Calculate the resultant force of these two electric forces.",8.2594,LD,False
LD195,"Two electric forces have magnitudes of 8 N and 4 N, acting at an angle of 135° to each other. Calculate the resultant force of these two electric forces.",5.8945,LD,False
LD196,"Two electric forces, with magnitudes of 2 N and 11 N, are perpendicular to each other. Calculate their resultant force.",11.1803,LD,False
LD197,"Two electric forces have magnitudes of 2 N and 8 N, acting at an angle of 30° to each other. Calculate their resultant force.",9.7833,LD,False
LD198,Two electric forces with magnitudes of 7 N and 3 N act at an angle of 45° to each other. Calculate their resultant force.,9.3647,LD,False
LD199,"Two electric forces have magnitudes of 2 N and 8 N, acting at an angle of 60° to each other. Calculate the resultant force of these two electric forces.",9.1652,LD,False
LD200,"Two electric forces have magnitudes of 5 N and 6 N, and act at an angle of 45° to each other. Calculate the resultant force of these two forces.",10.1699,LD,False
LD201,"Two charges, q1 = +5 × 10^-6 C and q2 = -5 × 10^-6 C, are placed at two points A and B, separated by 8 cm. A charge q3 = +5 × 10^-6 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",281.25,LD,False
LD202,"Two charges q1 = +2 × 10^-8 C and q2 = -2 × 10^-8 C are placed at points A and B, 12 cm apart. A test charge q = 10^-5 C is placed at point M, which is located on the perpendicular bisector of AB, 5 cm from AB. Calculate the resultant electric force acting on q.",0.453,LD,False
LD203,"Three identical charges, q = +7 × 10^-6 C, are placed at the three vertices of an isosceles right triangle with equal sides of 10 cm. Calculate the net force acting on the charge at the right-angle vertex.",62.37,LD,False
LD204,"Two electric charges, q1 = +9 × 10^-7 C and q2 = -9 × 10^-7 C, are placed at points A and B, respectively, 8 cm apart. A third charge, q3 = +9 × 10^-7 C, is placed at the midpoint of AB. Calculate the net electric force acting on q3.",9.1125,LD,False
LD205,"Two charges q1 = +9 × 10^-7 C and q2 = -9 × 10^-7 C are placed at two points A and B, separated by 10 cm. A third charge q3 = -9 × 10^-7 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",5.832,LD,False
LD206,"Two charges, q1 = +1 × 10^-7 C and q2 = -1 × 10^-7 C, are placed at points A and B, respectively, 12 cm apart. A test charge q = 10^-6 C is placed at point M, which lies on the perpendicular bisector of the line segment AB, 5 cm away from AB (or from the midpoint of AB). Calculate the net electric force acting on the test charge q.",0.227,LD,False
LD207,"Three identical charges, q = +5 × 10^-6 C, are placed at the three vertices of a right isosceles triangle with legs of 20 cm. Calculate the net force acting on the charge located at the right angle vertex.",7.955,LD,False
LD208,"Two electric charges q1 = +1 × 10^-6 C and q2 = -1 × 10^-6 C are placed at two points A and B, separated by 10 cm. A third electric charge q3 = +1 × 10^-6 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",7.2,LD,False
LD209,"Three electric charges, q1 = q2 = q3 = -1 × 10^-8 C, are placed at the three vertices of an equilateral triangle with a side length of 15 cm. Calculate the net electric force acting on q3.",6.928*10^-5,LD,False
LD210,"Two electric charges q1 = +2 × 10^-8 C and q2 = -2 × 10^-8 C are placed at two points A and B, 8 cm apart. A third charge q3 = -2 × 10^-8 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",4.495*10^-3,LD,False
LD211,"Three identical charges, q = +5 × 10^-6 C, are placed at the three vertices of an isosceles right triangle with legs of 10 cm. Calculate the net force acting on the charge at the right angle.",31.780,LD,False
LD212,Three electric charges q1 = q2 = q3 = +9 × 10^-7 C are placed at the 3 vertices of an equilateral triangle with a side length of 12 cm. Calculate the net electric force acting on q3.,0.877,LD,False
LD213,Three electric charges q1 = q2 = q3 = -2 × 10^-7 C are placed at the 3 vertices of an equilateral triangle with side length 10 cm. Calculate the net electric force acting on q3.,62.4*10^-3,LD,False
LD214,"Two charges, q1 = +4 × 10^-8 C and q2 = -4 × 10^-8 C, are placed at points A and B, which are 10 cm apart. A test charge q = 10^-8 C is placed at point M, which lies on the perpendicular bisector of the line segment AB, at a distance of 5 cm from AB. Calculate the net electric force acting on charge q.",1.02*10^-3,LD,False
LD215,"Two electric charges, q1 = +8 × 10^-6 C and q2 = -8 × 10^-6 C, are placed at points A and B, separated by 6 cm. A test charge q = 10^-8 C is placed at point M, which is on the perpendicular bisector of AB and is 3 cm away from the line segment AB. Calculate the net electric force acting on the charge q.",0.566,LD,False
LD216,"Three identical charges, q = +7 × 10^-7 C, are placed at the three vertices of an isosceles right triangle with legs of 20 cm. Calculate the net force acting on the charge at the right-angle vertex.",0.156,LD,False
LD217,Three identical charges q = -8 × 10^-7 C are placed at the three vertices of an isosceles right triangle with legs of 10 cm. Calculate the net force acting on the charge at the right angle vertex.,0.815,LD,False
LD218,"Two electric charges q1 = +3 × 10^-7 C and q2 = -3 × 10^-7 C are placed at two points A and B, 10 cm apart. A charge q3 = -3 × 10^-7 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",0.648,LD,False
LD219,"Two charges, q1 = +5 × 10^-8 C and q2 = -5 × 10^-8 C, are placed at points A and B, 10 cm apart. A test charge q = 10^-8 C is placed at point M, which lies on the perpendicular bisector of AB, 4 cm away from AB. Calculate the net electric force acting on q.",1.71*10^-3,LD,False
LD220,"Two electric charges, q1 = +2 × 10^-8 C and q2 = -2 × 10^-8 C, are placed at points A and B, which are 10 cm apart. A test charge q = 10^-8 C is placed at point M, which is on the perpendicular bisector of AB and 5 cm away from AB. Calculate the net electric force acting on q.",0.509*10^-3,LD,False
LD221,"Two electric charges q1 = +1 × 10^-6 C and q2 = -1 × 10^-6 C are placed at two points A and B, separated by 6 cm. A charge q3 = +1 × 10^-6 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",20.0,LD,False
LD222,"Two charges q1 = +8 × 10^-7 C and q2 = -8 × 10^-7 C are placed at two points A and B, separated by 10 cm. A third charge q3 = +8 × 10^-7 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",4.608,LD,False
LD223,"Two charges q1 = +8 × 10^-8 C and q2 = -8 × 10^-8 C are placed at two points A and B, 6 cm apart. A third charge q3 = -8 × 10^-8 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",0.128,LD,False
LD224,"Three electric charges, q1 = q2 = q3 = -1 × 10^-6 C, are placed at the three vertices of an equilateral triangle with a side length of 12 cm. Calculate the resultant electric force acting on q3.",1.0825,LD,False
LD225,"Two electric charges q1 = +1 × 10^-6 C and q2 = -1 × 10^-6 C are placed at two points A and B, separated by 10 cm. A third charge q3 = -1 × 10^-6 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",7.2,LD,False
LD226,Three identical charges q = +5 × 10^-7 C are placed at the three vertices of an isosceles right triangle with legs of 15 cm. Calculate the net force acting on the charge at the right angle.,0.141,LD,False
LD227,"Three identical charges, q = -3 × 10^-8 C, are placed at the three vertices of an isosceles right triangle with equal sides of 15 cm. Calculate the net force acting on the charge located at the right-angle vertex.",0.509*10^-3,LD,False
LD228,"Three charges, q1 = q2 = q3 = -9 × 10^-8 C, are placed at the three vertices of an equilateral triangle with a side length of 12 cm. Calculate the net electric force acting on q3.",8.77*10^-3,LD,False
LD229,"Two charges q1 = +4 × 10^-6 C and q2 = -4 × 10^-6 C are placed at two points A and B, separated by 6 cm. A charge q3 = +4 × 10^-6 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",320.0,LD,False
LD230,"Two charges q1 = +5 × 10^-6 C and q2 = -5 × 10^-6 C are placed at points A and B, respectively, separated by 6 cm. A test charge q = 10^-6 C is placed at point M, which lies on the perpendicular bisector of AB, 3 cm away from AB. Calculate the net electric force acting on q.",35.355,LD,False
LD231,"Three electric charges, q1 = q2 = q3 = 1.1 × 10^-6 C, are placed at the three vertices of an equilateral triangle with a side length of 10.5 cm. Determine the resultant electric force vector acting on q3.",1.7108,LD,False
LD232,"Three electric charges, q1 = q2 = q3 = -8 × 10^-8 C, are placed at the three vertices of an equilateral triangle with a side length of 12 cm. Determine the net electric force exerted on q3.",6.928*10^-3,LD,False
LD233,"Two point charges, q1 = +3 × 10^-6 C and q2 = -3 × 10^-6 C, are placed at points A and B, respectively, which are 12 cm apart. A test charge q = 10^-6 C is placed at point M. Point M is located on the perpendicular bisector of the line segment AB, and is 5 cm away from AB. Calculate the net electric force acting on the test charge q.",6.800,LD,False
LD234,Three identical charges q = +8 × 10^-7 C are placed at the three vertices of a right isosceles triangle with legs of 20 cm. Calculate the net force acting on the charge at the right angle vertex.,0.204,LD,False
LD235,Three charges q1 = q2 = q3 = +7 × 10^-6 C are placed at the vertices of an equilateral triangle with side length 15 cm. Calculate the net electric force acting on q3.,33.948,LD,False
LD236,Three electric charges q1 = q2 = q3 = +2 × 10^-6 C are placed at the three vertices of an equilateral triangle with side length 15 cm. Calculate the net electric force acting on q3.,2.7713,LD,False
LD237,"Two charges, q1 = +3 × 10^-7 C and q2 = -3 × 10^-7 C, are placed at two points A and B, separated by 6 cm. A third charge, q3 = -3 × 10^-7 C, is placed at the midpoint of AB. Calculate the electric force acting on q3.",1.8,LD,False
LD238,"Three electric charges, q1 = q2 = q3 = +4 × 10^-6 C, are placed at the three vertices of an equilateral triangle with a side length of 15 cm. Calculate the total (or net/resultant) electric force acting on q3.",11.0851,LD,False
LD239,"Two electric charges, q1 = +3 × 10^-6 C and q2 = -3 × 10^-6 C, are placed at points A and B, separated by 10 cm. A third charge, q3 = +3 × 10^-6 C, is placed at the midpoint of AB. Calculate the electric force acting on q3.",64.8,LD,False
LD240,Three charges q1 = q2 = q3 = -2 × 10^-8 C are placed at the three vertices of an equilateral triangle with side length 10 cm. Calculate the net electric force acting on q3.,0.624*10^-3,LD,False
LD241,"Two charges, q1 = +4 × 10^-8 C and q2 = -4 × 10^-8 C, are placed at points A and B, separated by 6 cm. A third charge, q3 = +4 × 10^-8 C, is placed at the midpoint of AB. Calculate the electric force acting on q3.",0.032,LD,False
LD242,"Three charges, q1 = q2 = q3 = +1 × 10^-7 C, are placed at the three vertices of an equilateral triangle with a side length of 10 cm. Calculate the net electric force acting on q3.",15.588*10^-3,LD,False
LD243,Three identical charges q = -3 × 10^-8 C are placed at the three vertices of an isosceles right triangle with legs of 15 cm. Calculate the net force acting on the charge at the right angle vertex.,0.5091*10^-3,LD,False
LD244,"Three identical charges, q = -1 × 10^-8 C, are placed at the three vertices of an isosceles right triangle with legs of 15 cm. Calculate the net force acting on the charge at the right-angle vertex.",56.57*10^-6,LD,False
LD245,"Three electric charges, q1 = q2 = q3 = -1 × 10^-7 C, are placed at the three vertices of an equilateral triangle with a side length of 10 cm. Calculate the resultant electric force acting on q3.",0.016,LD,False
LD246,"Three identical charges, q = +8 × 10^-6 C, are placed at the three vertices of a right isosceles triangle with leg lengths of 20 cm. Calculate the net force acting on the charge at the right-angle vertex.",20.360,LD,False
LD247,"Two charges, q1 = +8 × 10^-7 C and q2 = -8 × 10^-7 C, are placed at points A and B, 12 cm apart. A test charge q = 10^-6 C is placed at point M, which is on the perpendicular bisector of AB and 5 cm away from AB. Calculate the resultant electric force acting on q.",1.814,LD,False
LD248,"Two electric charges q1 = +7 × 10^-6 C and q2 = -7 × 10^-6 C are placed at points A and B, separated by 6 cm. A test charge q = 10^-8 C is placed at point M, which lies on the perpendicular bisector of the line segment AB, 3 cm away from AB. Calculate the net electric force acting on q.",0.495,LD,False
