id,question,answer,unit,smart_bucket,reason
DT030,"Given two electric charges q1 = 9 x 10^-8 C and q2 = -16 x 10^-8 C are placed at two points A and B in air, separated by 12cm. Find the point where the electric field vector is zero, and calculate its distance from B.",48,cm,electrostatics_candidate,Coulomb/electric-force geometry wording
DT033,"Charges q1 = -12 x 10^-6 C and q2 = 2.5 x 10^-6 C are placed at points A and B, respectively, which are 15 cm apart in air. Calculate the magnitude of the resultant electric field E at point C. Given that AC = 20 cm and BC = 5 cm.",6300000,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT034,"Points A and B are 15 cm apart in air. A charge q1 = -12 x 10^-6 C is placed at A, and a charge q2 = 2.5 x 10^-6 C is placed at B. Find point M where the net electric field due to these two charges is zero. Calculate the distance AM.",27.6,cm,electrostatics_candidate,Coulomb/electric-force geometry wording
DT035,"Two point charges q1 = -9 x 10^-6 C and q2 = -4 x 10^-6 C are placed at two points A and B, respectively, which are 20 cm apart in air. Calculate the magnitude of the resultant electric field strength at point C, given that AC = 30 cm and BC = 10 cm.",45.10^{5},V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT036,"At two points A and B, separated by 20 cm in air, charges q1 = -9 x 10⁻⁶ C and q2 = -4 x 10⁻⁶ C are placed. Find point M where the resultant electric field strength due to these two charges is zero. Calculate AM.",12,cm,electrostatics_candidate,Coulomb/electric-force geometry wording
DT037,"At two points A and B, separated by 20 cm in air, charges q1 = -9 x 10^-6 C and q2 = -4 x 10^-6 C are placed respectively. Find point M where the net electric field due to these two charges is zero. Calculate the distance BM.",8,cm,electrostatics_candidate,Coulomb/electric-force geometry wording
DT040,"At two vertices A and B of an equilateral triangle ABC with side length 'a', two point charges q1 = q2 = 4 x 10^-9 C are placed in air. What value must charge q3 have at vertex C so that the electric field strength produced by the system of three charges at the centroid G of the triangle is zero?",4 . 10^{-9},C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT041,A small sphere carrying an electric charge of 10^-9 C is placed in air. What is the electric field strength at a point 3cm away from the sphere?,10^4,V/m,equations_seed_from_old_code,exact old equation example: point_charge_electric_field
DT042,"A point charge q is placed in a homogeneous, infinite medium with a dielectric constant of 2.5. At point M, 0.4m away from q, the electric field vector has a magnitude of 9 x 10^5 V / m and points towards the charge q. Which of the following statements is correct regarding the sign and magnitude of charge q?",-0.4 . 10^{-6},C,review_possible_theory,theory wording
DT043,"An electron moves along the electric field lines of a uniform electric field with an electric field strength E = 100 V / m. Its initial velocity is 300 km / s, in the direction of the electric field vector E. What distance does the electron travel before its velocity reduces to zero?",2.56,mm,review_unknown,no confident domain hint
DT044,"A charge q is placed in a dielectric medium. At point M, 40 cm away from q, the electric field has a magnitude of 9 x 10^5 V / m and is directed towards the charge q. Given that the dielectric constant of the medium is 2.5. Determine the sign and magnitude of q.",-40 . 10^{-6},C,equations_candidate,scalar formula wording
DT045,"A charge q = 10^-7 C is placed in the electric field of a point charge Q, experiencing a force F = 3 mN. Calculate the magnitude of charge Q, given that the two charges are separated by a distance of 30 cm in vacuum.",3 . 10^{-7},C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT046,"A charge q = 10^-7 C is placed in the electric field of a point charge Q, and experiences a force F = 3 mN. Calculate the electric field strength at the point where charge q is placed, given that the two charges are separated by a distance of 30 cm in a vacuum.",3 . 10^4,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT047,"A charge q is placed at point O in the air. Ox is an electric field line. Take two points A and B on Ox. Let M be the midpoint of AB. E_A is the electric field strength at A, and E_B is the electric field strength at B. Determine 1/sqrt(E_M) in terms of E_A and E_B.",1/2 . (1/ \sqrt{E_A} + 1/ \sqrt{E_B}),nan,equations_candidate,scalar formula wording
DT048,"At the three vertices of a right-angled triangle ABC (with the right angle at A), which has side lengths BC = 50 cm, AC = 40 cm, and AB = 30 cm, charges q1 = q2 = q3 = 10^-9 C are placed. Determine the magnitude of the electric field at point H, which is the foot of the altitude drawn from vertex A.",246,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT049,"Two point charges q1 and q2 are placed at A and B, with AB = 2 cm. Given that q1 + q2 = 7 x 10^-8 C, and at point M, which is 6 cm from q1 and 8 cm from q2, the electric field strength is E = 0. Find q1.",-9 × 10^-8,C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT050,"Two point charges q1 and q2 are placed at A and B, with AB = 2 cm. Given that q1 + q2 = 7 x 10^-8 C. At point M, which is 6 cm from q1 and 8 cm from q2, the net electric field strength is E = 0. Find q2.",1.6 × 10^-7,C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT051,"Two point charges, q1 = q2 = 5.10⁻¹⁶ C, are placed at vertices B and C of an equilateral triangle ABC with a side length of 8 cm, in air. What is the magnitude of the electric field at vertex A?",1.22 . 10^{-3},V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT052,"Two point charges, q1 = 0.5 nC and q2 = –0.5 nC, are placed at points A and B, separated by 6 cm in air. What is the magnitude of the electric field intensity at point M, which lies on the perpendicular bisector of AB, at a distance ℓ = 4 cm from the midpoint of AB?",2160,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT053,"Two point charges q1 = 2 x 10⁻² μC and q2 = –2 x 10⁻² μC are placed at points A and B, separated by a distance a = 30 cm, in the air. What is the magnitude of the electric field strength at point M, which is equidistant from A and B by a distance equal to a?",2000,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT054,"Determine the electric field vector generated by a system of two point charges, q1 = 2 x 10^-7 C and q2 = -4 x 10^-7 C, at the midpoint of the line segment connecting the two charges. The charges are separated by 10 cm and are located in alcohol, which has a dielectric constant of ε = 2.2.",9.8 . 10^{5},N/C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT055,"At three vertices of a square with side length a = 40cm, three equal positive point charges (q1 = q2 = q3 = 5 x 10^-9 C) are placed. What is the magnitude of the electric field vector at the fourth vertex of the square?",538,N/C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT056,"Given two charges q1 = 4.10^-10 C and q2 = -4.10^-10 C, placed at points A and B respectively, in air. The distance between A and B is AB = a = 2 cm. Determine the net electric field vector at point N, such that A, B, and N form an equilateral triangle.",9000,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT057,"Two point charges q1 = -10^-6 C and q2 = 10^-6 C are placed at points A and B, 40cm apart, in the air. What is the resultant electric field strength at the midpoint M of AB?",4.5 . 10^5,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT058,"The electric field strength produced by a point charge +Q at point A, a distance r away from it, has a magnitude of E (V/m). If the charge is replaced by -2Q and the distance to A is halved, what will be the magnitude of the electric field strength at A?",8E,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT059,"A dust particle with a mass of 3.6 x 10⁻¹⁵ kg, carrying an electric charge of 4.8 x 10⁻¹⁸ C, is in equilibrium between two oppositely charged, parallel horizontal metal plates. Calculate the electric field strength between the two metal plates. Take g = 10 m/s².",7500,V/m,equations_seed_from_old_code,exact old equation example: equilibrium_electric_field
DT060,"A small sphere of mass m = 25 g, carrying an electric charge q = 2.5 x 10⁻⁷ C, is suspended by an inextensible string of negligible mass. It is placed in a uniform electric field with a horizontal electric field strength of magnitude E = 10⁶ V/m. Take g = 10 m/s². What is the angle of deflection of the string from the vertical?",1/4 \pi,rad,equations_candidate,scalar formula wording
DT061,"The electric field strength produced by a point charge at point A is 36 V / m, and at point B is 9 V / m. Points A and B lie on the same electric field line. What is the electric field strength at point C, the midpoint of AB?",16,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT062,"Four points A, B, C, D in air form a rectangle ABCD with sides AD = 3 cm and AB = 4 cm. Charges q1, q2, q3 are placed at A, B, and C respectively. Let vector E2 be the electric field vector produced by q2 at point D, and let vector E13 be the resultant electric field vector produced by charges q1 and q3 at point D. Determine the value of q1. Given that q2 = -12.5 x 10⁻⁸ C and vector E2 = vector E13.",-2.7 . 10^{-8},C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT063,"Four points A, B, C, D in the air form a rectangle ABCD with sides AD = 3 cm and AB = 4 cm. Charges q1, q2, q3 are placed respectively at A, B, C. Let E2 be the electric field vector created by q2 at D, and E13 be the resultant electric field vector created by charges q1 and q3 at D. Determine the value of q3, given that q2 = −12.5 x 10⁻⁸ C and E2 = E13 (as vectors).",-6.4 . 10^{-8},C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT072,"A thin circular ring with a radius R = 5 cm carries a total charge Q = 3 μC, uniformly distributed along its circumference. The ring lies in the xy-plane, centered at the origin. Calculate the magnitude of the electric field at point P located on the z-axis, 2.5 cm from the center.",3863925.47,N/C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT073,"A thin, non-conducting rod of length L = 10 cm is uniformly charged with a linear charge density of λ = 5 x 10^-6 C/m. The rod lies along the z-axis, from z = 0 to z = L. Calculate the net electric field at point M, which is located at a distance r = 6 cm from the origin (point O) along the x-axis.",6.43 x 10^5,N/C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT074,"Consider two wide, parallel insulating plates with surface charge densities of σ and (−σ), respectively. The distance between them is very small compared to the dimensions of the plates. What is the magnitude of the electric field at a point located between the two plates, given that σ = 8.85 × 10^-6 C/m^2?",1000000,N/C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT075,"Consider two wide parallel insulating sheets with identical surface charge densities of σ. The distance between them is very small compared to their dimensions. What is the magnitude of the electric field at a point located between the two sheets, given that σ = 8.85 × 10^-6 C/m^2?",0,N/C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT080,"The electric field between two vertical, oppositely charged metal plates has a magnitude of 4900 V/m. Determine the mass of a dust particle placed in this electric field if it carries a charge q = 4.10^-10 C and is in equilibrium, with its suspension thread making an angle of 30° with the vertical.",3.4 . 10^{-7},kg,equations_candidate,scalar formula wording
DT081,"Determine the magnitude of the electric field strength at point M in air, 3 cm away from a point charge q = 2.10⁻⁸ C.",200000,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT082,"Two point charges, q1 = 8 x 10^-8 C and q2 = -8 x 10^-8 C, are placed at points A and B in air. The distance AB is 4 cm. Find the magnitude of the electric field vector at point C, which is on the perpendicular bisector of AB and is 2 cm away from AB.",1272792.21,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT083,"A flat, circular conducting disk, with a radius R = 10 cm, is uniformly charged with a surface charge density σ. Calculate the axial component of the electric field strength, Ez, at point P located on the axis perpendicular to the center of the disk (i.e., the z-axis), at a distance z = 5 cm from the center of the disk, given that σ = 5 × 10^-6 C/m^2.",156154.35,V/m,equations_candidate,scalar formula wording
DT084,"At the three vertices of a right triangle (right-angled at A), with side lengths a = 50 cm, b = 40 cm, c = 30 cm, charges q1 = q2 = q3 = 10^–9 C are placed. Determine the electric field vector at point H, where H is the foot of the altitude dropped from vertex A.",245.91,N/C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT085,"Two electric charges, q1 = 4.10^–10 C and q2 = –4.10^–10 C, are placed at points A and B in air, with AB = 2 cm. Determine the electric field vector at point M, given that MA = 1 cm and MB = 3 cm.",32000,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT087,"A point charge q = 80 nC is fixed at O in oil. The dielectric constant of the oil is ε = 4. What is the electric field strength produced by q at point M, which is at a distance MO = 30 cm from O?",2000,V/m,equations_seed_from_old_code,exact old equation example: point_charge_electric_field
DT088,A dust particle carries a positive charge and has a mass of 10^-6 g. It is in equilibrium in a vertical electric field E with a magnitude of E = 1000 V / m. Calculate the charge of the dust particle. Given g = 10 m / s^2.,10^{-11},C,equations_candidate,scalar formula wording
DT089,"An infinitely large, flat metal plate is uniformly charged. It was determined that the charge contained on a 2 m x 5 m rectangular area is 4 µC. Calculate the electric field strength at point M, 20 cm away from the metal plate.",2.26.10^4,V/m,equations_candidate,scalar formula wording
DT090,"An infinitely long straight wire, placed in the air, is uniformly charged with a linear charge density λ = -6 x 10^-9 C / m. Calculate the electric field strength generated by this wire at point M, which is a distance r = 20 cm from the wire.",540,V/m,equations_seed_from_old_code,exact old equation example: infinite_wire_electric_field
DT091,A charge Q = 0.7 x 10^^-9 C is uniformly distributed along a semicircle with center O and radius R = 20 cm. Determine the electric field strength at O.,100,V/m,equations_candidate,scalar formula wording
DT092,"Given three point charges q1 = -2 μC, q2 = 3 μC, and q3 = -1 μC, placed at three collinear points A, B, and C. Point M is to the left of A and point N is to the right of C, such that MA = AB = BC = CN = 10 cm. Calculate the magnitude of the electric field strength at point M.",1.23 . 10^6,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT093,"Given three point charges: q1 = -2 μC, q2 = 3 μC, and q3 = -1 μC, placed at three collinear points A, B, and C. Point M is located to the left of A, and point N is located to the right of C, such that MA = AB = BC = CN = 10 cm. Calculate the magnitude of the electric field intensity (or electric field strength) at point N.",4.25 . 10^5,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT094,"A point at a fixed distance from a charge in air has an electric field strength of 4000 V/m, directed from left to right. If a dielectric material with a dielectric constant of 2 now completely surrounds the point charge and the point under consideration, what will be the magnitude of the electric field strength at that point?",2000,V/m,electrostatics_candidate,Coulomb/electric-force geometry wording
DT095,"What is the magnitude of the electric field strength produced by a charge Q = 5 x 10^-9 (C) at a point in a vacuum, 10 (cm) away from the charge?",4500,V/m,equations_candidate,scalar formula wording
DT096,"Two identical point charges, q = 2.0 × 10^-9 C, are placed at points A and B, 6.0 cm apart in air. Calculate the magnitude of the electric field strength at the midpoint M of the segment AB.",0,N/C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT097,"Two point charges, q₁ = +3 × 10^-9 C and q₂ = –3 × 10^-9 C, are placed at two points A and B, separated by 4 cm. Calculate the magnitude of the electric field strength at point M, which is located on the perpendicular bisector of AB, at a distance of 3 cm from the midpoint of AB.",2.3 x 10^4,N/C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT098,"Two charges q₁ = +4 × 10^-9 C and q₂ = –4 × 10^-9 C are placed at points A and B, separated by 2 cm. Calculate the magnitude of the electric field strength at point M such that MA = 1 cm and MB = 3 cm.",4.0 × 10⁴,N/C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT099,Two point charges q₁ = 5 × 10^-9 C and q₂ = 5 × 10^-9 C are placed 10 cm apart. Calculate the magnitude of the electric field at the midpoint between the two charges.,0,N/C,electrostatics_candidate,Coulomb/electric-force geometry wording
DT100,"Two electric charges q₁ = +2 × 10^-8 C and q₂ = +2 × 10^-8 C are placed at two points A and B, separated by 8 cm. Calculate the magnitude of the electric field at point M, which lies on the perpendicular bisector of AB and is 6 cm away from AB.",5.76 x 10^4,N/C,electrostatics_candidate,Coulomb/electric-force geometry wording
LD101,"Two electric charges q1 = -3 × 10^-8 C and q2 = +8 × 10^-8 C are placed at two points A and B, 15 cm apart, in the air. A charge q3 = -2 × 10^-8 C is placed at point C, given that the distance from C to A is 7 cm and to B is 9 cm. Calculate the resultant electric force acting on q3.",2.707*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD102,"Charges q1 = -2 × 10^-7 C and q2 = -1 × 10^-7 C are placed at points A and B, separated by 6 cm in air. A third charge, q3 = +5 × 10^-7 C, is placed at point C, given that the distance from C to A is 7 cm and the distance from C to B is 8 cm. Calculate the net electric force acting on q3.",0.238,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD103,"Two point charges q1 = -4 × 10^-8 C and q2 = -9 × 10^-8 C are placed at points A and B, which are 9 cm apart in the air. A third charge q3 = -1 × 10^-8 C is placed at point C, such that the distance from C to A is 10 cm and the distance from C to B is 8 cm. Calculate the net electric force acting on q3.",1.480,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD104,"Two charges q1 = -8 × 10^-7 C and q2 = -9 × 10^-7 C are placed at points A and B, respectively, 12 cm apart in air. A charge q3 = +7 × 10^-7 C is placed at point C, such that the distance from C to A is 6 cm and from C to B is 6 cm. Calculate the net electric force acting on q3.",0.175,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD105,"Two electric charges q1 = +4 × 10^-8 C and q2 = +9 × 10^-8 C are placed at two points A and B, 5 cm apart, in the air. A third charge q3 = -9 × 10^-8 C is placed at point C, given that the distance from C to A is 3 cm and from C to B is 4 cm. Calculate the net electrostatic force acting on q3.",0.058,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD106,"Two electric charges, q1 = +8 × 10^-8 C and q2 = +8 × 10^-8 C, are placed at two points A and B, separated by 6 cm in the air. A third charge, q3 = -8 × 10^-8 C, is placed at point C. Given that the distance from C to A is 8 cm and from C to B is 3 cm. Calculate the net electric force acting on q3.",0.071,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD107,"Two electric charges q1 = -6 × 10^-8 C and q2 = +5 × 10^-8 C are placed at two points A and B, 8 cm apart, in air. A charge q3 = +2 × 10^-8 C is placed at point C, knowing that the distance from C to A is 10 cm and from C to B is 8 cm. Calculate the net electric force acting on q3.",1.116*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD108,"Two electric charges, q1 = +3 × 10^-7 C and q2 = +4 × 10^-7 C, are placed at points A and B, respectively, 10 cm apart in air. A charge q3 = -8 × 10^-7 C is placed at point C, with distances CA = 7 cm and CB = 6 cm. Calculate the net electric force acting on q3.",0.842,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD109,"Two charges q1 = -2 × 10^-8 C and q2 = -5 × 10^-8 C are placed at points A and B, 12 cm apart in the air. A third charge q3 = -5 × 10^-8 C is placed at point C, given that the distance from C to A is 5 cm and the distance from C to B is 9 cm. Calculate the net electric force acting on q3.",3.5*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD110,"Two charges q1 = +7 × 10^-8 C and q2 = -6 × 10^-8 C are placed at points A and B, 10 cm apart in air. A third charge q3 = +8 × 10^-8 C is placed at point C, such that the distance from C to A is 7 cm and the distance from C to B is 5 cm. Calculate the net electrostatic force acting on q3.",0.023,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD111,"Two electric charges, q1 = -1 × 10⁻⁸ C and q2 = -6 × 10⁻⁸ C, are placed at points A and B, 14 cm apart in air. A third electric charge, q3 = -7 × 10⁻⁸ C, is placed at point C, such that the distance from C to A is 6 cm and the distance from C to B is 8 cm. Calculate the net electric force acting on q3.",4.16*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD112,"Two electric charges, q1 = +5 × 10^-8 C and q2 = +2 × 10^-8 C, are placed at two points A and B, separated by 12 cm in the air. A third charge, q3 = -2 × 10^-8 C, is placed at point C, with the distance from C to A being 8 cm and the distance from C to B being 6 cm. Calculate the net electric force acting on q3.",1.3*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD113,"Two charges, q1 = -8 × 10^-8 C and q2 = +4 × 10^-8 C, are placed at points A and B, 9 cm apart, in air. A third charge, q3 = -2 × 10^-8 C, is placed at point C, such that the distance from C to A is 10 cm and the distance from C to B is 6 cm. Calculate the net electric force acting on q3.",1.85*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD114,"Two electric charges, q1 = +6 × 10^-8 C and q2 = +4 × 10^-8 C, are placed at points A and B respectively, separated by 14 cm in the air. A third electric charge, q3 = -6 × 10^-8 C, is placed at point C, such that the distance from C to A is 6 cm and the distance from C to B is 8 cm. Calculate the net electric force acting on q3.",5.625*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD115,"Two point charges q1 = +5 × 10^-8 C and q2 = +6 × 10^-8 C are placed at points A and B, respectively, 15 cm apart in air. A third charge q3 = -7 × 10^-8 C is placed at point C, such that the distance from C to A is 3 cm and the distance from C to B is 17 cm. Calculate the net electric force acting on q3.",0.036,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD116,"Two electric charges q1 = -4 × 10^-8 C and q2 = -8 × 10^-8 C are placed at two points A and B, 16 cm apart, in the air. A charge q3 = +2 × 10^-8 C is placed at point C, given that the distance from C to A is 6 cm and from C to B is 10 cm. Calculate the net electric force acting on q3.",0.56*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD117,"Two electric charges, q1 = -3 × 10^-8 C and q2 = -6 × 10^-8 C, are placed at points A and B, separated by 17 cm in the air. A third charge, q3 = +3 × 10^-8 C, is placed at point C. Given that the distance from C to A is 8 cm and the distance from C to B is 9 cm. Calculate the net electric force acting on q3.",0.734*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD118,"Two point charges, q1 = -8 × 10^-8 C and q2 = -2 × 10^-8 C, are placed at points A and B, 14 cm apart, in the air. A third charge, q3 = -7 × 10^-8 C, is placed at point C, such that the distance from C to A is 10 cm and the distance from C to B is 7 cm. Calculate the net electric force acting on q3.",4.83*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD119,"Two point charges, q1 = +7 × 10^-8 C and q2 = -3 × 10^-8 C, are placed at points A and B, separated by 3 cm in the air. A third charge, q3 = +2 × 10^-8 C, is placed at point C, such that the distance from C to A is 3 cm and the distance from C to B is 4 cm. Calculate the net electric force acting on q3.",12*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD120,"Two electric charges q1 = +6 × 10^-8 C and q2 = +1 × 10^-8 C are placed at two points A and B, separated by 15 cm in air. A third charge q3 = -1 × 10^-8 C is placed at point C, with the distance from C to A being 14 cm and to B being 6 cm. Calculate the net electric force acting on q3.",0.379*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD121,"Two electric forces have magnitudes of 7 N and 5 N, acting at an angle of 90° to each other. Calculate the resultant force of these two electric forces.",8.6023,N,electrostatics_or_geometry_review,LD prefix fallback
LD122,"Three identical charges, q = -4 × 10^-6 C, are placed at the three vertices of an isosceles right triangle with legs of length a = 12 cm. Calculate the net force acting on the charge located at the right angle vertex.",14.140,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD123,"Two charges, q1 = +2 × 10^-6 C and q2 = +2 × 10^-6 C, are placed at points A and B, separated by 6 cm. A test charge q = 10^-6 C is placed at point M, which lies on the perpendicular bisector of AB, at a distance of 3 cm from AB (i.e., from the midpoint of AB). Calculate the magnitude of the net electric force exerted by q1 and q2 on q.",14.140,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD124,"Two point charges, q1 = +4 × 10^-8 C and q2 = -4 × 10^-8 C, are placed at points A and B, 10 cm apart. A test charge q = 10^-8 C is placed at point M, which is on the perpendicular bisector of the line segment AB, at a distance of 3 cm from AB. Calculate the magnitude of the net electric force exerted by q1 and q2 on q.",1.82*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD125,"Two electric forces have magnitudes of 8 N and 7 N, and are inclined at an angle of 120° to each other. Calculate the resultant force of these two electric forces.",7.5498,N,electrostatics_or_geometry_review,LD prefix fallback
LD126,"Two electric forces have magnitudes of 3 N and 8 N, acting at a 90° angle to each other. Calculate their resultant force.",8.544,N,electrostatics_or_geometry_review,LD prefix fallback
LD127,Three electric charges q1 = q2 = q3 = +8 × 10^-6 C are placed at the three vertices of an equilateral triangle with side length 15 cm in the air. Calculate the net electric force acting on q3.,44.34,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD128,"Two charges, q1 = +2 × 10^-8 C and q2 = -2 × 10^-8 C, are placed at two points A and B, separated by 10 cm. A third charge, q3 = -2 × 10^-8 C, is placed at the midpoint of AB. Calculate the electric force acting on q3.",2.88*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD129,"Three identical charges, q = -4 × 10^-8 C, are placed at the three vertices of an isosceles right triangle with legs of length a = 10 cm. Calculate the net force acting on the charge located at the right-angle vertex.",2.04*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD130,Three electric charges q1 = q2 = q3 = +5 × 10^-6 C are placed at the three vertices of an equilateral triangle with a side length of 15 cm in the air. Calculate the net electric force acting on q3.,17.320,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD131,"Two electric forces have magnitudes of 5 N and 10 N, acting at an angle of 120° to each other. Calculate the resultant force of these two electric forces.",8.6603,N,electrostatics_or_geometry_review,LD prefix fallback
LD132,"Two electric forces, with magnitudes of 7 N and 6 N, act at an angle of 60° to each other. Calculate their resultant force.",11.2694,N,electrostatics_or_geometry_review,LD prefix fallback
LD133,"Three identical charges, q = +7 × 10^-7 C, are placed at the three vertices of an isosceles right triangle with legs of length a = 12 cm. Calculate the net force acting on the charge at the right-angle vertex.",0.434,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD134,Three identical charges q = +2 × 10^-7 C are placed at the 3 vertices of an isosceles right triangle with legs of length a = 12 cm. Calculate the net force acting on the charge at the right-angle vertex.,0.035,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD135,"Two electric forces, each with a magnitude of 5 N, act at an angle of 60° to each other. Calculate their resultant force.",8.66,N,electrostatics_or_geometry_review,LD prefix fallback
LD136,"Three identical charges, q = +9 × 10^-7 C, are placed at the three vertices of an isosceles right triangle with side length a = 12 cm. Calculate the net force acting on the charge located at the right angle vertex.",0.716,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD137,"Two charges, q1 = -2 × 10^-8 C and q2 = -2 × 10^-8 C, are placed at points A and B, which are 6 cm apart. A test charge q = 10^-6 C is placed at point M, which is located on the perpendicular bisector of AB, 4 cm away from the line segment AB.",0.115,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD138,"Two point charges q1 = +3 × 10^-6 C and q2 = -3 × 10^-6 C are placed at two points A and B, separated by 10 cm. A charge q3 = -3 × 10^-6 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",64.8,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD139,"Three identical charges, q = -7 × 10^-6 C, are placed at the three vertices of an isosceles right-angled triangle with equal sides of length a = 12 cm. Calculate the net force acting on the charge located at the right-angle vertex.",43.31,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD140,"Three electric charges, q1 = q2 = q3 = -5 × 10^-7 C, are placed at the three vertices of an equilateral triangle with side length 15 cm in the air. Calculate the net electric force acting on q3.",0.173,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD141,"Two electric forces have magnitudes of 3 N and 9 N, and they are perpendicular to each other. Calculate their resultant force.",9.4868,N,electrostatics_or_geometry_review,LD prefix fallback
LD142,"Two electric charges, q1 = +5 × 10^-7 C and q2 = +5 × 10^-7 C and a charge q = 10^-6 C, are placed at two points A and B, 6 cm apart. A test charge q is placed at point M, which lies on the perpendicular bisector of the line segment AB and is 5 cm away from AB. Calculate the magnitude of the net electric force exerted by q1 and q2 on the test charge q.",2.270,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD143,Two electric forces have magnitudes of 7 N and 8 N and act at an angle of 120° to each other. Calculate the resultant force of these two electric forces.,7.5498,N,electrostatics_or_geometry_review,LD prefix fallback
LD144,"Two charges, q1 = +9 × 10^-8 C and q2 = -9 × 10^-8 C, are placed at points A and B, separated by 6 cm. A third charge, q3 = -9 × 10^-8 C, is placed at the midpoint of AB. Calculate the net electric force acting on q3.",0.162,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD145,"Two electric charges q1 = +5 × 10^-8 C and q2 = -5 × 10^-8 C are placed at two points A and B, separated by 8 cm. A charge q3 = -5 × 10^-8 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",2.81*10^-2,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD146,"Three electric charges, q1 = q2 = q3 = +5 × 10^-6 C, are placed at the three vertices of an equilateral triangle of side length 10 cm in the air. Calculate the resultant electric force acting on q3.",3.89*10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
